detector,series_id,score_hash,n_points,raw_hash_match
SubPCA,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,520be39c8aae6d17304649d6f407b373e0ede52af1b6dcec0ef3a9471ed64447,4031,True
SubPCA,002_NAB_id_2_WebService_tr_1500_1st_4106.csv,40532e91d5df229c22f37c952bb82c553878e61886fcac5c3a61429c8a755669,6000,True
SubPCA,005_NAB_id_5_Traffic_tr_594_1st_1645.csv,b99a11668db2e4af5724c93ec368a9ad98e51e043eee3a3a026459cefde8bced,2379,True
SubPCA,006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,449354bdd7ded012593429dff76fb2e85f0caa3b3e63fcd1e2df3b0bac88199e,10319,True
SubPCA,008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,e377a3dffa2f0bac061f83ed5b690288303e1a9ea577e7b2ad7e427d843c3c21,4031,True
SubPCA,009_NAB_id_9_Traffic_tr_500_1st_438.csv,18ad4e661bf789d0f9bf6867d3fdeea7814e2cea3694977cbc11915759211acc,2161,True
SubPCA,010_NAB_id_10_WebService_tr_500_1st_271.csv,15a2cc0ba05cc608c2ad8c8d5e3d9b459f26ae57e0702202e77b116ebbf8ca1a,1000,True
SubPCA,011_NAB_id_11_Facility_tr_1007_1st_1526.csv,ed45b559e29f0d0169790e35389bffbde4f21265acd836fdb3037f7d0cd35e1e,4031,True
SubPCA,013_NAB_id_13_Traffic_tr_623_1st_2084.csv,907c07f918cff9dbf7f9155f20b863b54744b69f897c8d8ffb837bc1cc5a724b,2494,True
SubPCA,014_NAB_id_14_WebService_tr_500_1st_1045.csv,d5ff6a11188619253f2b20343846de4863fcd6f0f440c57dee57a5ed82430deb,1537,True
SubPCA,015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,eb307a84afeaa1a3f804e27c107bd5836a0baa61e8c22d30ddc798d9649957bd,4031,True
SubPCA,016_NAB_id_16_Environment_tr_1816_1st_3540.csv,95eebbb1e75fa5f9edae7c9533820b6904a0c7fc46ddc12f75afad643826f230,7266,True
SubPCA,017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,7e516a1793b3b717406d5a117ba25d6e1330b4c5135dc4efe6211ea404ac88e7,4031,True
SubPCA,018_NAB_id_18_Facility_tr_500_1st_669.csv,6fae43860b72bcc086f8520636fb8214e3eaff6f1c5bdc58cfc1a959aee57e3a,1881,True
SubPCA,019_NAB_id_19_Facility_tr_1007_1st_1171.csv,21ddc5b47890c7393ffaabbb951d3c9ed4d2ec6a27ad506e3166475bd904e9f2,4031,True
SubPCA,020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,80115b89469f6cfe96b534122f14625d475d57455450118e21d30bf01db899c3,4031,True
SubPCA,022_NAB_id_22_Facility_tr_1007_1st_2980.csv,8d94ecc10e49fedf57cd8bb9895b9c7dae3b213fb38bfba649773b9f6a940be4,4031,True
SubPCA,023_NAB_id_23_Facility_tr_4512_1st_16551.csv,3949c44841813a233cd381d671b4c8c37ee41efb10064df52e3cc8e007d36dc6,18049,True
SubPCA,024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,50d2936eec1a7b9611441b3d46c076b5b4ba346880059253430877fc558c8dfa,4031,True
SubPCA,025_NAB_id_25_WebService_tr_3958_1st_4614.csv,abed7ec9ed17f392d44b702b31459d89d5b0a1dec179ca80c8671e7748b15e54,15832,True
SubPCA,026_NAB_id_26_Traffic_tr_624_1st_2261.csv,601d9d9ea2551a02ec084ab1899ea6c216a09d8a3618f02e12b3978f36c87de9,2499,True
SubPCA,027_NAB_id_27_Facility_tr_757_1st_2582.csv,8d37e3732f96b637f613282cbf8b94ee2988a95be5fe03c8ef4aaf8ea5a89a5f,3031,True
SubPCA,028_NAB_id_28_Facility_tr_1007_1st_3447.csv,b30256cca2630b2da7d3cb039d16fb510bd04c2b1740d4336a81db6ba7957efa,4031,True
SubPCA,032_WSD_id_4_WebService_tr_4559_1st_11822.csv,5c5fe6b1cf0eaae52389a0a32c90a5bd0923a17fa065baaaec70abe54a21421c,10686,True
