probe,detector,CDU,simultaneous9_low,simultaneous9_high,simultaneous27_low,simultaneous27_high,exploratory_t_p_greater,holm9_p,holm27_p,delete_source_min,delete_source_max,delete_source_positive_count,most_influential_source
linear,SubPCA,0.011261031579117954,-0.011538095021749023,0.03406015817998493,-0.01457144428300459,0.0370935074412405,0.10992107146208784,0.8793685716967027,1.0,0.004969582116648174,0.014242551902732574,23,SWaT
linear,POLY,0.0006515905808137123,-0.002751853156050654,0.004055034317678079,-0.003204670218988049,0.004507851380615473,0.31465975172618443,1.0,1.0,0.0003165355564053928,0.0017311140394697402,23,SWaT
linear,MOMENT_FT,-2.216371578510542e-05,-0.001292585829182016,0.0012482583976118052,-0.0014616113382122046,0.0014172839066419938,0.5175887200327112,1.0,1.0,-0.0001623991736159645,0.00030996844571504884,5,SED
linear,MOMENT_ZS,-7.753124357431484e-05,-0.0007430397743632153,0.0005879772872145856,-0.0008315835087600858,0.0006765210216114561,0.6157039749043522,1.0,1.0,-0.00016106724920651416,6.52389594951685e-05,3,SED
linear,M2N2,0.010953000900133606,-0.0069387632459497976,0.02884476504621701,-0.009319203975333578,0.03122520577560079,0.06589384933099712,0.593044643978974,1.0,0.007097132168152881,0.013234786747543593,23,SWaT
linear,TranAD,0.002762057644994892,-0.007926972240146806,0.013451087530136591,-0.00934911272268618,0.014873228012675965,0.257830262328648,1.0,1.0,0.0004328500370901918,0.004665166516716482,23,SWaT
linear,TimesNet,-0.000343323559860783,-0.0011506852755785281,0.0004640381558569622,-0.0012581021124956637,0.0005714549927740976,0.8556630361665171,1.0,1.0,-0.0003687632200363958,-3.567879494611856e-05,0,SWaT
linear,FITS,-0.0004159889028141393,-0.0023470933480987948,0.001515115542470516,-0.002604020481539459,0.0017720426759111805,0.7063375946371819,1.0,1.0,-0.0005248118883906957,0.0002624257358277816,1,SWaT
linear,AnomalyTransformer,0.0004716168843570235,-0.0009424326506646945,0.0018856664193787416,-0.0011305673186073604,0.002073801087321407,0.20148445561175882,1.0,1.0,7.908736727025163e-05,0.0006523668766759527,23,SWaT
spline,SubPCA,0.015086930672467757,-0.003627605101725228,0.03380146644666074,-0.005431988032222425,0.03560584937715794,0.022294111679521323,0.17835289343617058,0.5620098817100756,0.010403542281888424,0.01754792780659797,23,SWaT
spline,POLY,0.00603993153935573,0.0010657637380486317,0.011014099340662829,0.0005861737774745584,0.011493689301236901,0.002025220260525639,0.018226982344730754,0.054680947034192254,0.0051732148252713285,0.0068770608383748825,23,LTDB
spline,MOMENT_FT,0.0009898828654713997,-0.00045819239607771257,0.0024379581270205118,-0.0005978101945388213,0.0025775759254816205,0.042289637509972534,0.2516630524933577,0.9064714475656591,0.0006626776860414735,0.0012290525273756176,23,SMAP
spline,MOMENT_ZS,0.00010810150555579471,-0.0012714279460890746,0.001487630957200664,-0.001404436823503962,0.0016206398346155515,0.4189354900490989,0.8378709800981978,1.0,-0.00017701016881820303,0.0004220742990358491,20,SWaT
spline,M2N2,0.012721628543885987,-0.0050570364487046195,0.030500293536476594,-0.006771186349440909,0.032214443437212886,0.03595186464190824,0.2516630524933577,0.8268928867638896,0.00880822785118464,0.014550308765697849,23,SWaT
spline,TranAD,0.0048447656452091405,-0.005016720428841456,0.014706251719259737,-0.005967526655405205,0.015657057945823484,0.10384466054261818,0.3115339816278545,1.0,0.00224763941963738,0.005673716524065382,23,SWaT
spline,TimesNet,0.0013265052762510283,-0.0008514197593120691,0.003504430311814126,-0.001061406841304864,0.0037144173938069205,0.06089771845958049,0.2516630524933577,1.0,0.0009113395212177389,0.0015469830427066377,23,SWaT
spline,FITS,0.0010912805899424408,-0.0004931427494068439,0.002675703929291726,-0.0006459067005247553,0.002828467880409637,0.04120324761662087,0.2516630524933577,0.9064714475656591,0.0008532863876527806,0.0013278872859619022,23,SMAP
spline,AnomalyTransformer,0.00014845693514109918,-0.0018869813850950414,0.0021838952553772397,-0.0020832304508174512,0.0023801443210996493,0.4244728121832273,0.8378709800981978,1.0,-0.0001715657400772362,0.000473516470921949,18,TAO
hgb,SubPCA,0.01486266647487092,-0.003001640295636633,0.032726973245378474,-0.005209264985772923,0.03493459793551476,0.02161576468115675,0.19454188213041076,0.5620098817100756,0.009768219543147926,0.017145742278110918,23,SWaT
hgb,POLY,0.0031388411875984848,-0.0032150036178177533,0.009492685993014723,-0.004000195276801595,0.010277877651998564,0.1080190136093534,0.540095068046767,1.0,0.0020425948776557038,0.004527563574224668,23,OPPORTUNITY
hgb,MOMENT_FT,0.0010449353741408015,-0.0019542227465922934,0.0040440934948738965,-0.002324850927243774,0.004414721675525377,0.18936146825801742,0.7574458730320697,1.0,9.601130574626529e-05,0.0017077414643500563,23,SWaT
hgb,MOMENT_ZS,0.00030391621999352225,-0.0017640631180073148,0.0023718955579943592,-0.0020196186401952405,0.0026274510801822847,0.3541838651311076,0.7574458730320697,1.0,-0.00024440085090973577,0.0007870806774769142,22,SWaT
hgb,M2N2,0.008337471486479588,-0.0017729294898281307,0.018447872462787306,-0.00302234661578811,0.019697289588747287,0.02246999545286238,0.19454188213041076,0.5620098817100756,0.006351607322793642,0.009553440881781925,23,TAO
hgb,TranAD,0.004286418497647738,-0.003669828179952592,0.01224266517524807,-0.00465304050562104,0.013225877500916517,0.08934672623385721,0.5360803574031433,1.0,0.00226950210788719,0.005208863919965715,23,SWaT
hgb,TimesNet,0.001080493880052727,-0.0021159344875342906,0.0042769222476397445,-0.002510940813566871,0.0046719285736723255,0.19642040671383587,0.7574458730320697,1.0,0.00038061724342718475,0.0018232532035772529,23,TAO
hgb,FITS,0.0014211249635481468,-0.0006681015686440914,0.003510351495740385,-0.0009262827639743127,0.0037685326910706063,0.046684794427454684,0.3267935609921828,0.9336958885490937,0.0010532045439362455,0.0018786051099967103,23,TAO
hgb,AnomalyTransformer,0.0014264510791334789,-0.003748820914279926,0.006601723072546884,-0.004388367602410701,0.007241269760677659,0.24237059092442664,0.7574458730320697,1.0,-7.251567667308463e-06,0.0022390182085393804,22,SWaT
