source_local,source_official,repo_commit,detector,n_local,n_official,n_aligned,missing_local,missing_official,columns_identical,max_abs_diff,mean_abs_diff,n_diff_gt_1e-12,identical
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-IForest,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,IForest,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-LOF,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,LOF,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,POLY,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,MatrixProfile,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,KShapeAD,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,SAND,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Series2Graph,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,SR,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-PCA,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-HBOS,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-OCSVM,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-MCD,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Sub-KNN,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,KMeansAD,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,AutoEncoder,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,CNN,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,LSTMAD,350,350,350,0,0,True,0.0,0.0,0,True
